feature,importance_mean,importance_std
feature_106,10.497784093062936,0.29256504598301747
feature_098,8.941994821135726,0.2650586971296168
feature_110,6.743936896179748,0.2631465390502995
feature_102,4.730493140251782,0.20161166410864353
feature_105,2.9975492140835884,0.15210782550269641
feature_046,2.949105142994234,0.09545740140376273
feature_111,2.901388395234564,0.13331307379174342
feature_027,2.734841276499528,0.1451939126600231
feature_025,2.7304092959155715,0.15223065989510823
feature_103,2.4310170655126853,0.12221477256221677
feature_072,2.0660017832459423,0.15773717476640983
feature_091,2.0207770216193506,0.13223117846523127
feature_097,1.9406227301951853,0.10436105327154636
feature_038,1.8261027971586268,0.07346723028340411
feature_041,1.6904122331368048,0.057556311097198054
feature_094,1.5798279327057665,0.11754522281951563
feature_016,1.5602575292833032,0.10365869436280017
feature_127,1.3521723976221003,0.0998699130230274
feature_047,1.351546397338286,0.040560329336461635
feature_095,1.2860419273801862,0.10136246859270608
feature_081,1.271403302785304,0.13188021115072524
feature_019,1.2109168471952718,0.08859501853821597
feature_089,1.1984282790893985,0.10424729776342379
feature_080,1.1857247852438755,0.1327686600981528
feature_043,1.1532219732132716,0.04454400120679387
feature_126,1.0807056456904869,0.08341313122019375
feature_107,0.9776890317752257,0.06651982184911968
feature_118,0.9043068489916029,0.057082800579260164
feature_096,0.8451557768199413,0.08252500982336648
feature_119,0.8388122867241103,0.053077734900702805
feature_088,0.8018958779611183,0.06837239906970878
feature_086,0.7851392974404054,0.05475447540822087
feature_116,0.7728074829772907,0.07131554355318158
feature_100,0.7401195464781334,0.0529879330613604
feature_008,0.7323293405038801,0.05287993084008325
feature_059,0.7256893117065706,0.06825491354199249
feature_099,0.7252968451434754,0.032737524683235895
feature_113,0.7172155247480579,0.07839308482066652
feature_030,0.6965439080919935,0.06290100905726813
feature_090,0.659245864322213,0.07284684830810097
feature_093,0.6543212691908754,0.0398016750311786
feature_049,0.6173484240775954,0.13196202416817046
feature_087,0.6125059477564728,0.054725782203082954
feature_120,0.6073905047118804,0.06213329844136148
feature_121,0.5851948856646477,0.055326849912414836
feature_115,0.5484184162940703,0.0494021981669344
feature_084,0.512885138867254,0.055813138758879895
feature_085,0.49417710756240374,0.036475842949764276
feature_069,0.46350855267469154,0.05823175327754721
feature_123,0.45109016000870666,0.03857268967346688
feature_067,0.42803749039510613,0.05574479744431557
feature_068,0.4216686940101937,0.053569828544637925
feature_124,0.4166865415549078,0.0526257604873546
feature_128,0.39544183041203856,0.03843835450599388
feature_083,0.3953389634790691,0.03018927202359842
feature_082,0.38126423882745447,0.06906858663803687
feature_117,0.3762069385244217,0.062336343641199915
feature_092,0.37076265941973835,0.030205549226095123
feature_012,0.36908695978680156,0.08489735324819035
feature_054,0.3610225085499972,0.06105433785208016
feature_015,0.35442997937263765,0.03795319391323215
feature_004,0.3491923133655414,0.016012360694958164
feature_078,0.346649403346197,0.051465207392114694
feature_034,0.3452632119732385,0.014850996380812428
feature_071,0.3396726789043006,0.04501543101261876
feature_024,0.33782393050927906,0.054610750322025954
feature_022,0.32897408161277514,0.044289239058680575
feature_052,0.32744959556292674,0.06119437552380732
feature_056,0.32115089069715924,0.04311269541747585
feature_079,0.3195165691775316,0.06556947182422557
feature_125,0.3177336999653259,0.055192438422370746
feature_062,0.3080191528483501,0.04175525127766966
feature_108,0.3059254822145817,0.036443187723190405
feature_011,0.2930005884121774,0.055618236876814345
feature_033,0.2900609953251452,0.04738030041872032
feature_003,0.2683663999978118,0.012459328615996834
feature_007,0.2617063101019246,0.034885750127302495
feature_005,0.2610854834375042,0.06007909215339553
feature_055,0.24324209841520314,0.05649324511847709
feature_017,0.23184024540862633,0.08192626400289581
feature_013,0.23143891421106655,0.05236334310852643
feature_009,0.22492650565617206,0.023041789088293525
feature_039,0.2233294879095458,0.012042987041428501
feature_060,0.20950634333005003,0.04073101476444109
feature_023,0.20650770421761705,0.03472066546070627
feature_064,0.2055794171467454,0.026776375288505433
feature_061,0.20381355506514467,0.033380913479794466
feature_057,0.20285751959549808,0.05288859085844215
feature_053,0.20234657833501235,0.04107365332536414
feature_063,0.18235991244718738,0.04304615503819674
feature_006,0.17852900594014992,0.027745355554396944
feature_051,0.1594649195236883,0.042857545574159404
feature_076,0.15716527762110483,0.040309521148451925
feature_065,0.14809354509752382,0.017337570013760663
feature_070,0.1461865522618704,0.011777680776350921
feature_104,0.13800605921789877,0.011568099965012523
feature_075,0.11987400106372756,0.030470839114950667
feature_073,0.1142919881892046,0.06086713247571643
feature_074,0.10943706234975063,0.020223049378547048
feature_001,0.10745538153696922,0.04461322315283952
feature_002,0.10039072965042996,0.008049241681398943
feature_112,0.09614840670368968,0.006477475790158274
feature_014,0.09273208554274959,0.027964698836433745
feature_010,0.09109524129104045,0.09950767425247187
feature_028,0.09055008655498208,0.018300159636835105
feature_077,0.08103912929684422,0.08076608920549866
feature_031,0.06140638557005692,0.013879404486820825
feature_048,0.048238450456938156,0.00417905017715777
feature_020,0.02447565389629934,0.019431746972890043
feature_044,0.010228319858214263,0.021514395853622942
feature_032,0.007452117524368873,0.0018811950883820747
feature_021,0.0028996040864996075,0.0012138924531502973
feature_029,0.0014697464769710678,0.00030541543609721207
feature_040,0.0008495329267210157,0.0005377209316830654
feature_042,3.8076829810999394e-05,1.1910486051304523e-06
feature_058,-0.0007079060436221122,8.729765263699657e-05
feature_050,-0.002314581568385658,0.00032011589417777305
feature_114,-0.008781377455432941,0.1428177590644058
feature_101,-0.00978512657605298,0.016288701831526906
feature_045,-0.012071816489318129,0.0013751753024695756
feature_035,-0.03333120898251802,0.03909954804677506
feature_066,-0.03450302038144836,0.010378606232580355
feature_109,-0.03654592521777715,0.011792695179480084
feature_037,-0.05696649424969185,0.00226154480918509
feature_122,-0.07860479300157314,0.12591797410003377
feature_036,-0.3399033501076379,0.02197993807589805
feature_026,-0.3924037206379457,0.02008474461835389
feature_018,-0.7269662952887188,0.06403954712393281
