model,random_rmse,temporal_rmse,delta_rmse_temporal_minus_random,random_mae,temporal_mae,delta_mae_temporal_minus_random,random_r2,temporal_r2,delta_r2_temporal_minus_random
Dummy,189.88556256113543,186.88198144239837,-3.00358111873706,108.09291876347952,116.9746521358373,8.881733372357786,-0.113349390632943,-0.0001560684095895,0.1131933222233535
RandomForest,30.09804021041898,132.56196573143745,102.46392552101847,8.469244248741912,63.99671314221778,55.52746889347587,0.972027967720654,0.4967650620337084,-0.4752629056869456
XGBoost,31.84622163148463,118.61444539077073,86.76822375928609,10.328466016266262,64.27373723323979,53.945271216973524,0.9686842071902796,0.5970899696259484,-0.3715942375643312
SVR,35.95873813586968,113.57505976131668,77.616321625447,12.79931895945742,55.87231123825874,43.07299227880132,0.9600739385611058,0.6305983234983574,-0.32947561506274836
MLP,31.39398323895973,134.0097239956257,102.61574075666597,11.089540757674207,82.01628998196279,70.92674922428859,0.9695673039302816,0.4857130082001573,-0.4838542957301243
