algorithm,configuration,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari_gas,nmi_gas,ari_batch,nmi_batch
KMeans,k=6,6,0.0,0.3431312282161773,1.1806227492229666,4003.828319097679,0.09047268616838185,0.2424628030282361,0.04530328882515198,0.10564036964078329
DBSCAN,"eps=4.466200,min_samples=20",4,0.0372,0.498142996708056,0.5791006002514633,458.3954407895621,-0.004217876492941054,0.02862331546799755,0.003638141941735403,0.04477127367520587
