accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,protocol,model,training_seconds,model_size_mb,inference_ms_total_median,inference_us_per_sample_median
0.21639108554996406,0.16666666666666666,0.03606518092499401,0.16666666666666666,0.05929866036249015,0.07699020892498722,0.0,random,Dummy,0.0006710999878123403,0.0008487701416015625,0.08694999269209802,0.03125449054352912
0.9953271028037384,0.9946768979647967,0.9960063539160174,0.9946768979647967,0.9953290843788993,0.995326613210346,0.9943346070602761,random,RandomForest,40.46419140000944,3.0208730697631836,121.31814999156632,43.608249457788034
0.99568655643422,0.9953388363394406,0.9962764469703346,0.9953388363394406,0.9958031587968402,0.9956872552829855,0.9947679045280963,random,XGBoost,231.39949320000596,0.6561317443847656,13.997799993376248,5.031560026375359
0.9938892882818117,0.9934076246025,0.9942298125634886,0.9934076246025,0.9938134643044395,0.9938881539128458,0.9925873444268489,random,SVM,127.04263609999907,1.3359174728393555,202.56769999105018,72.8136951801043
0.9942487419122933,0.9932145505523563,0.9944805173113537,0.9932145505523563,0.993831875084182,0.9942450594158572,0.9930266193677602,random,MLP,34.04969830001937,0.5630903244018555,4.126699990592897,1.4833572935272814
0.1869222535759463,0.16666666666666666,0.031153708929324384,0.16666666666666666,0.05249494452642509,0.05887483999334199,0.0,temporal,Dummy,0.0004364999767858535,0.00084686279296875,0.08969998452812433,0.008728226576639518
0.5415977425318673,0.5300181692340146,0.47827856632678234,0.5300181692340146,0.49126470320804083,0.5083514311337679,0.46477766487296424,temporal,RandomForest,13.336056300002383,0.7254867553710938,74.35399999667425,7.2349907557336035
0.5045246667315364,0.49789098359131695,0.6394293116417042,0.49789098359131695,0.4738435000649372,0.4877333605817668,0.42060442618517796,temporal,XGBoost,57.05702800001018,0.29196929931640625,13.572600015322678,1.320677241930785
0.5522039505692322,0.5486351058620423,0.6055137693103285,0.5486351058620423,0.49930472583258,0.5091967285113742,0.4963672058652554,temporal,SVM,8.787246899999445,0.13412857055664062,27.007149998098612,2.6279215722583062
0.6309234212318771,0.6164348896757664,0.5634144789160472,0.6164348896757664,0.571176325083928,0.5816678826225148,0.5801103232751192,temporal,MLP,8.438684199994896,0.19876766204833984,12.56974997522775,1.2230952588525592
