mae,rmse,median_ae,r2,protocol,model,training_seconds,model_size_mb,inference_ms_total_median,inference_us_per_sample_median
108.09291876347952,189.88556256113543,70.0,-0.11334939063294303,random,Dummy,0.0008148000051733106,0.0007181167602539062,0.019099999917671084,0.006865564312606429
8.469244248741912,30.09804021041898,2.2249999999999943,0.9720279677206539,random,RandomForest,103.64965820001089,9.069890022277832,53.87819997849874,19.366714586088694
10.328466016266262,31.84622163148463,3.896310329437256,0.9686842071902796,random,XGBoost,49.98888349998742,0.39328670501708984,7.69025000045076,2.764288281973674
12.799318959457421,35.95873813586968,4.656662805840156,0.9600739385611058,random,SVR,143.05008119999547,8.902066230773926,1510.2503500093007,542.8649712470527
11.089540757674207,31.393983238959734,4.654956740757314,0.9695673039302817,random,MLP,251.3906946000061,0.5597314834594727,6.487799997557886,2.332063262961138
116.9746521358373,186.88198144239834,100.0,-0.00015606840958959367,temporal,Dummy,0.0005363000091165304,0.000720977783203125,0.014000004739500582,0.001362265713681092
63.99671314221778,132.56196573143745,31.64181547619046,0.4967650620337084,temporal,RandomForest,20.627738800016232,4.0183258056640625,71.45800000580493,6.95319645867519
64.27373723323979,118.61444539077071,35.47340393066406,0.5970899696259484,temporal,XGBoost,23.214284699992277,0.12183094024658203,8.659050014102831,0.8425659252800264
55.87231123825874,113.57505976131667,28.15548636330783,0.6305983234983574,temporal,SVR,6.815641900000628,2.6628828048706055,1440.882300012163,140.2045635897794
82.01628998196279,134.0097239956257,54.45789343711411,0.4857130082001573,temporal,MLP,77.86277780000819,0.1940155029296875,14.806150007643737,1.4407074056284652
