feature,importance_mean,importance_std
feature_105,0.02740039009904412,0.0019168125178577922
feature_097,0.02220330111954834,0.0014283814348806084
feature_025,0.0210517426126506,0.001964350680171769
feature_033,0.017377929989061573,0.0012339476502544484
feature_041,0.01695757829195888,0.0013902126491440235
feature_125,0.015547030884103925,0.002294674076071349
feature_016,0.014300047507116154,0.0018200592940231112
feature_110,0.013423908423685401,0.0023358070545076216
feature_117,0.011968748600944509,0.001703081716193264
feature_116,0.011179536096637502,0.002175428712894331
feature_124,0.010863463728496137,0.0020042235076210735
feature_111,0.010481997805282028,0.0014968656108098988
feature_098,0.009919508721325713,0.0021054866877744573
feature_076,0.009689804953252201,0.0016362698607968313
feature_072,0.009151809709802887,0.0023647884340381245
feature_102,0.009079199541994994,0.0021673649809110106
feature_078,0.008439365585448355,0.0014675749697432522
feature_106,0.00810968217193387,0.0019928364290666065
feature_079,0.007613155001536928,0.001379218871159316
feature_077,0.006931575673916934,0.001894704632189001
feature_085,0.006694031252414087,0.0016231985775232941
feature_092,0.006573996495663548,0.001558294137903956
feature_103,0.006437346712371705,0.001363515313445338
feature_038,0.006168310101883515,0.001106212114565927
feature_075,0.006085271865871703,0.0014108682494116417
feature_084,0.005815792101934177,0.0014970410667106933
feature_009,0.0056996294199844165,0.0019136904979785445
feature_052,0.005677894159456602,0.0011747437441314418
feature_099,0.005500309087779838,0.0009639390151724898
feature_093,0.0051561562565773265,0.0016787716950137927
feature_074,0.005121473523243147,0.001411164247474275
feature_122,0.004732981024055009,0.0019920612806562203
feature_073,0.0045732380882727245,0.0010840741371217397
feature_046,0.004411421972874644,0.0015902075134169014
feature_068,0.004363615139299904,0.0014996324224578318
feature_053,0.0041593176297098095,0.001163833968892383
feature_065,0.004063744307836929,0.0012872089333776262
feature_070,0.004015279173046885,0.0011385815609758231
feature_061,0.0038386145071196863,0.001220279839153333
feature_066,0.0037531317711439584,0.0015266624370308473
feature_060,0.003694248069132559,0.0012194315887170365
feature_047,0.0034412588227778224,0.001705985604587348
feature_127,0.0034267233071038888,0.0009277662184798806
feature_115,0.00340583538735697,0.0012015482021046694
feature_027,0.0033717954884638765,0.0014990324469509161
feature_071,0.0032776404170293963,0.0009949178214992088
feature_034,0.003137127498618586,0.0012411836348834105
feature_100,0.0030114354084841127,0.0017101670707816974
feature_090,0.0029152138445775353,0.001312071141883119
feature_039,0.0025936396795707955,0.00037755983839598417
feature_044,0.002445623213061898,0.001234174321567651
feature_017,0.002240168611246422,0.0014056444265787202
feature_104,0.002222218122857315,0.000847196816637003
feature_008,0.0021397624575858697,0.001453636211435853
feature_020,0.0020342383718400395,0.0013438356280321196
feature_018,0.0019087978120091295,0.001324689490265021
feature_112,0.001823205801615783,0.0008989456093545825
feature_087,0.0017680020952935082,0.00129911891940581
feature_101,0.0017096101666957593,0.0014202540236759537
feature_028,0.0016771889990617073,0.0011789873596683047
feature_108,0.0016605534324514468,0.0018173555561075447
feature_036,0.0015965007425092917,0.001134428873488456
feature_126,0.0015919071067230265,0.0013522056018390406
feature_037,0.0012183550491717007,0.000967526442978291
feature_089,0.0011609027324883151,0.0015689739064896854
feature_023,0.001119326431114224,0.0010171249445230144
feature_045,0.0009114287905116184,0.0006217868860707114
feature_021,0.0008414813682731855,0.0005199764883854576
feature_055,0.0008275975866006184,0.0012383534662239006
feature_119,0.0006657878341897054,0.0008722539691460783
feature_091,0.0006360260998635662,0.002027800403764651
feature_026,0.00043355042034171434,0.0010779940519373037
feature_040,0.00042495320581835324,0.0004998143362870038
feature_063,0.0003757970322010381,0.0010288424877778538
feature_029,0.0003089036912939565,0.00041037791079939626
feature_107,0.0002769201988008341,0.0013121201324652557
feature_086,0.0002681321868153397,0.0009393340358473214
feature_069,0.0002660766021801653,0.0013565931573869558
feature_114,0.00014259023188021303,0.001451070485611575
feature_048,0.00013803951829691,0.0005518662114985511
feature_050,5.105071714310109e-05,0.000361264709371331
feature_042,3.785408872943504e-06,1.1136685263116486e-05
feature_058,-1.3597400056279223e-06,0.00020974133250354536
feature_083,-7.239836484725555e-06,0.0011714132615137714
feature_031,-0.0001256974427351028,0.0006480136251465924
feature_109,-0.00019133720151661335,0.0010852107232117631
feature_128,-0.00021265151783656696,0.00046037787016975064
feature_120,-0.000304749216468192,0.000611782681453492
feature_095,-0.0004049432914122519,0.0013684630961492963
feature_032,-0.0007937703335692733,0.00042496996040946466
feature_001,-0.0008003701610564666,0.001036773176916918
feature_059,-0.0008385679016067311,0.0014898195659228185
feature_067,-0.0009216976880819239,0.0017275606283709958
feature_005,-0.0010870633484554007,0.0011801326867582685
feature_094,-0.0011004313490480182,0.0011855865452812914
feature_007,-0.0011738730724251947,0.0009358549287321771
feature_080,-0.0013174969256337283,0.0022005683124063247
feature_022,-0.0015199936460469502,0.0008021282519407788
feature_064,-0.0015405484468915764,0.0006461509876674321
feature_043,-0.0016371373253750857,0.0016118992488926074
feature_014,-0.001673296718857875,0.0019490363558647729
feature_056,-0.0017324222913007578,0.0004608113335787737
feature_030,-0.0017458806301026513,0.0009557991305412783
feature_006,-0.0019075052024191575,0.0011198138865286147
feature_118,-0.0019805246341325117,0.0014474216757304002
feature_062,-0.00227322799781496,0.0012362165388023348
feature_123,-0.002277485342148237,0.0015208672329887303
feature_088,-0.0026762447247674257,0.0006240515014180532
feature_024,-0.0029755512207524076,0.0013307782513841742
feature_015,-0.0031964113886522242,0.0021222232792949347
feature_096,-0.003409461707433873,0.0008012578392417611
feature_035,-0.003435305577136501,0.001777991787451843
feature_003,-0.0034880296854705134,0.0007538869832380548
feature_081,-0.0035084898084632777,0.0016605673774623291
feature_004,-0.003510505271549458,0.000817594797793228
feature_013,-0.0035550303530186805,0.0015465020452801305
feature_002,-0.0038723736654235675,0.0016202565616995337
feature_054,-0.0040917006419758,0.00157840783106167
feature_082,-0.004335793621555006,0.0012229244057332326
feature_012,-0.005164461826940747,0.002922426834168607
feature_010,-0.0054649117169518705,0.001955480931691572
feature_019,-0.005636363750837803,0.0016113139719492818
feature_011,-0.007056018168898329,0.0024646717225041154
feature_051,-0.008788265674263555,0.0022792132354680604
feature_057,-0.009148762235690108,0.0026119926756057723
feature_049,-0.009964360818289301,0.002053549156664188
feature_113,-0.011257697476033645,0.0017717553669041265
feature_121,-0.011467655718119533,0.0017428626294422147
