algorithm,configuration,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari_gas,nmi_gas,ari_batch,nmi_batch
KMeans,k=2,2,0.0,0.4243505669836628,1.0597425277565364,6260.193464591689,0.035385822827074004,0.09852120936224144,0.022998461341450983,0.04446100883015356
KMeans,k=3,3,0.0,0.42041937796796364,1.002581858561198,5079.749637644417,0.04051833981558585,0.10956130005974815,0.02412963161192609,0.06922981789987301
KMeans,k=4,4,0.0,0.4064283433354378,1.2362777725248002,4536.135086027427,0.06369037967754602,0.18457110552030995,0.03611889817581982,0.07391475250175931
KMeans,k=5,5,0.0,0.32921630040730243,1.1535750116117485,4333.577961079648,0.08349054171477499,0.20845429883364552,0.03653105608993947,0.08066151711698426
KMeans,k=6,6,0.0,0.3431312282161773,1.1806227492229666,4003.828319097679,0.09047268616838185,0.2424628030282361,0.04530328882515198,0.10564036964078329
KMeans,k=7,7,0.0,0.2652952510771387,1.193141844904943,3727.18177489334,0.06853712800913841,0.20292959483323378,0.04319659211657446,0.10092529271166725
KMeans,k=8,8,0.0,0.2644831356732166,1.0434939718092007,3678.933839155328,0.0730642329951889,0.20867026369992112,0.04630389609426861,0.10589636575324032
KMeans,k=9,9,0.0,0.2819859795035077,1.0362272903441923,3580.319142623633,0.07396625358071668,0.22660327477490336,0.061501374887713726,0.153877359801951
KMeans,k=10,10,0.0,0.2782002699820488,1.0333904326297714,3487.3631444853127,0.09010941282474103,0.25976007780058147,0.05668183677352103,0.152844407301706
