model,random_macro_f1,temporal_macro_f1,delta_macro_f1_temporal_minus_random,random_balanced_accuracy,temporal_balanced_accuracy,delta_balanced_accuracy
Dummy,0.0592986603624901,0.052494944526425,-0.006803715836065094,0.1666666666666666,0.1666666666666666,0.0
RandomForest,0.9953290843788992,0.4912647032080408,-0.5040643811708585,0.9946768979647967,0.5300181692340146,-0.4646587287307822
XGBoost,0.9958031587968402,0.4738435000649372,-0.5219596587319031,0.9953388363394406,0.4978909835913169,-0.49744785274812375
SVM,0.9938134643044396,0.49930472583258,-0.4945087384718596,0.9934076246025,0.5486351058620423,-0.44477251874045765
MLP,0.993831875084182,0.571176325083928,-0.422655550000254,0.9932145505523564,0.6164348896757664,-0.37677966087659
