n_clusters,noise_fraction,non_noise_n,silhouette,davies_bouldin,calinski_harabasz,ari_gas,nmi_gas,ari_batch,nmi_batch,algorithm,configuration,eps,eps_quantile,min_samples
223,0.1561,8439,0.03258130298833322,0.7113554952998152,374.13112709678245,0.0695939667835724,0.3550485768718205,0.1070429880759824,0.37803226523570166,DBSCAN,"eps=0.972953,min_samples=5",0.9729530805654595,0.8,5
180,0.116,8840,-0.13513437791053773,0.7668210503877932,151.18948633822436,0.0412116264633893,0.3249180452422513,0.11900152198146235,0.35945167173241765,DBSCAN,"eps=1.195088,min_samples=5",1.1950878572164942,0.85,5
126,0.0711,9289,-0.24117651072193752,0.8204267153420641,102.62002219286778,-0.0009048732190526305,0.25544995892051525,0.14368622862717065,0.3467369577253552,DBSCAN,"eps=1.503073,min_samples=5",1.5030729769401923,0.9,5
44,0.0375,9625,-0.21431384266215076,0.7070787209497604,128.05073559332823,-0.002845603907718879,0.1522447115909424,0.05071653746035112,0.1870757160733012,DBSCAN,"eps=2.182346,min_samples=5",2.1823463639623615,0.95,5
73,0.1478,8522,-0.15585141486558649,0.7790958188502916,192.9313565570161,0.0037836029030114725,0.25434303179809964,0.149514628199062,0.35005465495105675,DBSCAN,"eps=1.440138,min_samples=10",1.4401380889107156,0.8,10
45,0.1073,8927,-0.235145598814878,0.8511901486700401,160.55930927911336,-0.0023152455669427537,0.20671624436942462,0.10531640016580679,0.2800786095065712,DBSCAN,"eps=1.736631,min_samples=10",1.7366306313635118,0.85,10
22,0.0673,9327,-0.19501167318828794,0.8807184010570622,187.85187964553015,-0.0017321017214120857,0.14329308312957198,0.05883781779342145,0.19146735728708691,DBSCAN,"eps=2.193459,min_samples=10",2.1934587902884917,0.9,10
9,0.0375,9625,0.13134388988232512,0.5943530147156912,213.12125435200397,-0.004998868568420871,0.0418369971317288,0.0038637882391759242,0.058943447820343824,DBSCAN,"eps=3.309606,min_samples=10",3.309605549241469,0.95,10
16,0.1291,8709,-0.12123012498581306,0.8107345535074993,235.38929787185918,0.004554950842868479,0.14938869081116882,0.07938405962647001,0.20981531705819884,DBSCAN,"eps=2.004639,min_samples=20",2.0046392361846617,0.8,20
11,0.099,9010,-0.03454206308109546,0.8216788743016225,283.7578588932381,-0.0002724766160613766,0.129110432013826,0.0732797058077255,0.19449278364261482,DBSCAN,"eps=2.301296,min_samples=20",2.3012964419773057,0.85,20
4,0.0657,9343,0.26978920156672664,0.6228317733803711,132.30447841640787,-0.004187985855101576,0.03461902483968848,0.01263392655578055,0.06493602841919863,DBSCAN,"eps=2.851435,min_samples=20",2.8514349709157445,0.9,20
4,0.0372,9628,0.498142996708056,0.5791006002514633,458.3954407895621,-0.004217876492941054,0.02862331546799755,0.003638141941735403,0.04477127367520587,DBSCAN,"eps=4.466200,min_samples=20",4.466200308470605,0.95,20
